role,technique,cases,initial_pass_rate,final_pass_rate,final_pass_sd,schema_rate,coverage,prerequisite_precision,prerequisite_recall,invalid_reference_rate,unsupported_claim_rate,judge_accuracy,mean_revisions,censored_rate,estimated_usd,mean_request_seconds,provider_requests,eligible
age_appropriateness_judge,cot,120,0.9666666666666667,0.975,0.025000000000000022,1.0,,,,,,0.9666666666666667,0.08333333333333333,0.025,0.6844,5.76996471870225,40,True
age_appropriateness_judge,cot_few_shot,120,1.0,1.0,0.0,1.0,,,,,,1.0,0.0,0.0,1.103852375,6.206696170803237,30,True
age_appropriateness_judge,few_shot,120,1.0,1.0,0.0,1.0,,,,,,1.0,0.0,0.0,1.012478875,6.542086006763081,30,True
cognitive_judge,cot,120,1.0,1.0,0.0,1.0,,,,,,1.0,0.0,0.0,0.61853125,6.754200708332549,30,True
cognitive_judge,cot_few_shot,120,1.0,1.0,0.0,1.0,,,,,,1.0,0.0,0.0,1.089044875,6.137546500035872,30,True
cognitive_judge,few_shot,120,1.0,1.0,0.0,1.0,,,,,,1.0,0.0,0.0,1.141477875,6.322945058435047,30,True
curricular_judge,cot,120,0.9583333333333334,0.975,0.0,1.0,,,,,,0.9583333333333334,0.09166666666666666,0.025,0.669397875,4.9437131616570875,41,True
curricular_judge,cot_few_shot,120,0.975,0.9916666666666667,0.014433756729740658,1.0,,,,,,0.975,0.05,0.008333333333333333,1.332419375,5.593238243113673,36,True
curricular_judge,few_shot,120,0.975,0.9916666666666667,0.014433756729740658,1.0,,,,,,0.975,0.05,0.008333333333333333,1.04493575,5.7204546955537,36,True
curricularization,cot,120,0.058333333333333334,0.13333333333333333,0.11273124382057235,0.1,1.0,,,0.0,0.05555555555555556,,2.725,0.8666666666666667,1.25415922,13.946147017985243,132,False
curricularization,cot_few_shot,120,0.8416666666666667,0.8666666666666667,0.0381881307912987,1.0,1.0,,,0.0,0.06944444444444445,,0.425,0.13333333333333333,1.53116547,9.123358711727144,134,True
curricularization,few_shot,120,0.8583333333333333,0.8833333333333333,0.014433756729740658,1.0,1.0,,,0.0,0.05555555555555556,,0.375,0.11666666666666667,1.47769717,9.146367376281432,128,True
decomposition,cot,120,0.008333333333333333,0.03333333333333333,0.014433756729740645,1.0,0.5861111111111111,0.1782051282051282,0.2,0.0,0.04027777777777778,,2.933333333333333,0.9666666666666667,6.47416519,22.952410327021724,239,False
decomposition,cot_few_shot,120,0.25,0.36666666666666664,0.09464847243000454,1.0,0.7111111111111111,0.5127118644067796,0.5166666666666667,0.0,0.04166666666666667,,2.066666666666667,0.6333333333333333,4.537205035,15.296546293091833,236,False
decomposition,few_shot,120,0.3416666666666667,0.43333333333333335,0.05773502691896256,1.0,0.7472222222222222,0.5513888888888889,0.5541666666666667,0.0,0.03152777777777778,,1.875,0.5666666666666667,4.24709187,15.025393863673997,228,False
evidence_judge,cot,120,0.8583333333333333,0.925,0.024999999999999967,1.0,,,,,,0.8666666666666667,0.3333333333333333,0.075,2.88529875,26.696268338133628,62,False
evidence_judge,cot_few_shot,120,0.9916666666666667,1.0,0.0,1.0,,,,,,0.9916666666666667,0.008333333333333333,0.0,2.85959075,36.34252249451932,31,True
evidence_judge,few_shot,120,1.0,1.0,0.0,1.0,,,,,,1.0,0.0,0.0,2.708922625,34.806679743039425,30,True
graph_judge,cot,120,0.9916666666666667,1.0,0.0,1.0,,,,,,0.9916666666666667,0.008333333333333333,0.0,0.60951625,4.914675069937197,31,True
graph_judge,cot_few_shot,120,1.0,1.0,0.0,1.0,,,,,,1.0,0.0,0.0,1.072243375,5.274279676474786,30,True
graph_judge,few_shot,120,1.0,1.0,0.0,1.0,,,,,,1.0,0.0,0.0,1.142191125,5.671440783259459,30,True
